Jannik Sinner,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,4,0.45,0.27723199129104614
Jannik Sinner,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-1,0.0,4,1.0,0.45041927695274353
Jannik Sinner,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2,0.0,4,0.8,0.15792334079742432
Jannik Sinner,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,-1,0.0,3,0.75,-0.1824185848236084
Jannik Sinner,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0.0,2,0.25,-0.4657055139541626
Jannik Sinner,0,0,3,0,1,0,0,0,0,0,1,0,1,0,0,1,0.0,1,0.55,-0.049178868532180786
Jannik Sinner,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0.0,2,0.0,-0.015899451449513435
Jannik Sinner,0,0,4,0,2,0,0,0,0,1,1,0,1,0,0,1,1.0,1,0.0,0.7127150893211365
Jannik Sinner,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.2,1.494860291481018
Jannik Sinner,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,-1,1.0,3,0.45,1.8912256956100464
Jannik Sinner,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-1,0,0.0,4,0.8,1.9383060932159424
Jannik Sinner,0,0,0,1,1,1,0,0,0,0,0,0,0,0,-1,-1,0.0,4,0.55,1.5638740062713623
Jannik Sinner,0,0,1,1,1,1,0,0,0,0,0,0,0,0,-1,0,0.0,3,0.0,1.290794849395752
Jannik Sinner,0,0,2,1,1,0,0,0,0,1,0,0,0,0,-1,1,1.0,2,0.2,1.7330613136291504
Jannik Sinner,0,0,2,1,1,0,0,0,0,1,0,0,0,0,-1,0,1.0,2,0.25,2.070483922958374
Jannik Sinner,0,0,2,1,2,0,0,0,0,0,0,0,0,0,-1,-1,1.0,3,0.55,2.202950954437256
Jannik Sinner,0,0,0,0,1,1,0,1,0,0,0,0,0,0,-2,0,0.0,4,0.0,1.4795960187911987
Jannik Sinner,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-2,1,0.0,3,0.2,1.6054744720458984
Jannik Sinner,0,0,1,0,2,0,0,0,0,0,0,0,0,0,-2,0,0.0,3,0.25,1.4735350608825684
Jannik Sinner,0,0,1,0,2,0,0,0,0,0,0,0,0,0,-2,-1,1.0,3,0.75,1.5169817209243774
Jannik Sinner,0,0,1,0,2,1,0,0,0,0,0,0,0,0,-2,-2,1.0,4,0.45,1.041431188583374
Jannik Sinner,0,0,2,0,1,0,0,0,0,0,0,0,0,0,-2,-1,1.0,3,1.0,1.2975972890853882
Jannik Sinner,0,0,0,1,1,1,0,0,0,0,0,0,0,0,-3,0,0.0,4,0.8,0.8685246706008911
Jannik Sinner,0,0,1,1,2,1,0,0,0,0,0,0,0,0,-3,1,0.0,3,0.75,0.34603798389434814
Jannik Sinner,0,0,2,1,1,1,1,1,0,0,0,0,0,0,-3,2,1.0,2,0.25,0.29890352487564087
Jannik Sinner,0,0,3,1,2,0,0,0,0,1,0,0,0,0,-3,3,1.0,1,0.75,0.8145714998245239
Jannik Sinner,0,0,3,1,2,1,0,1,0,0,0,0,0,0,-3,2,1.0,1,0.25,0.43221554160118103
Jannik Sinner,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-2,0,0.0,4,0.75,0.5746474862098694
Jannik Sinner,0,1,0,0,2,1,0,0,0,0,0,0,0,0,-2,-1,0.0,4,0.45,-0.3784385919570923
Jannik Sinner,0,1,1,0,1,0,0,0,0,0,0,0,0,0,-2,0,0.0,3,0.8,-0.11579982936382294
Jannik Sinner,0,1,1,0,2,1,0,0,0,0,0,0,0,0,-2,-1,0.0,3,0.55,-0.44273585081100464
Jannik Sinner,0,1,2,0,1,1,0,1,0,0,0,0,0,0,-2,0,0.0,2,0.0,-0.6574879288673401
Jannik Sinner,0,1,3,0,2,0,0,0,0,1,1,0,1,0,-2,1,1.0,1,0.2,0.011591343209147453
Jannik Sinner,0,1,3,0,1,0,0,0,0,0,0,0,0,0,-2,0,1.0,2,0.45,0.796085774898529
Jannik Sinner,0,1,3,0,1,0,0,0,0,0,0,0,0,0,-2,-1,1.0,3,1.0,1.4062771797180176
Jannik Sinner,0,1,0,1,1,1,0,1,0,0,0,0,0,0,-3,0,0.0,4,1.0,1.1089621782302856
Jannik Sinner,0,1,1,1,1,1,1,1,0,0,0,0,0,0,-3,1,1.0,3,0.8,0.9503892660140991
Jannik Sinner,0,1,2,1,2,1,0,1,0,0,0,0,0,0,-3,2,1.0,2,0.75,0.9020135402679443
Jannik Sinner,0,1,3,1,2,1,0,1,0,0,0,0,0,0,-3,3,1.0,1,0.25,0.4282996654510498
Jannik Sinner,0,2,0,0,1,0,0,0,0,0,0,0,0,0,-2,0,0.0,4,0.55,0.3924604058265686
Jannik Sinner,0,2,0,0,1,1,0,1,0,0,0,0,0,0,-2,-1,0.0,4,0.0,-0.43080103397369385
Jannik Sinner,0,2,1,0,1,0,0,0,0,0,0,0,0,0,-2,0,1.0,3,0.2,-0.17277339100837708
Jannik Sinner,0,2,1,0,2,0,0,0,0,1,0,0,0,0,-2,-1,1.0,3,0.25,-0.0754845142364502
Jannik Sinner,0,2,1,0,1,0,0,0,0,0,0,0,0,0,-2,-2,1.0,4,0.75,0.281710684299469
Jannik Sinner,0,2,0,1,1,1,0,1,0,0,0,0,0,0,-3,0,0.0,4,0.45,0.21116825938224792
Jannik Sinner,0,2,1,1,1,0,0,0,0,0,0,0,0,0,-3,1,0.0,3,1.0,0.7244603037834167
